date,rating,text,thumbs_up,city,primary_theme,review_id
2025-04-01,5,Life-changing service for someone who can't drive. Thank you Waymo!,41,San Francisco,general_experience,1
2025-04-01,4,The estimated arrival time was accurate. Car showed up right on time.,26,Phoenix,wait_times,2
2025-04-01,2,The novelty wore off. Now I just notice the long waits and limited coverage.,4,San Francisco,general_experience,3
2025-04-01,5,The car handled a sudden obstacle in the road perfectly. Very impressive safety response.,5,San Francisco,safety_trust,4
2025-04-01,3,The car took me to the wrong entrance of a mall. Minor but annoying.,8,San Francisco,general_experience,5
2025-04-02,5,Car arrived in under 3 minutes! Faster than any Uber I've ordered.,12,Los Angeles,wait_times,6
2025-04-02,1,"Getting expensive. For the wait times I deal with, the price doesn't feel worth it.",28,Los Angeles,pricing,7
2025-04-02,3,Can never get a car when I actually need one. Wait times need serious improvement.,5,Phoenix,wait_times,8
2025-04-02,5,Cheaper than I expected for an autonomous car ride. Very competitive pricing. Wish they would expand to the suburbs. I can only use it in the city center.,6,Phoenix,pricing,9
2025-04-02,3,The consistency is what I love most. Every ride is the same great quality.,12,Los Angeles,general_experience,10
2025-04-02,5,Really polished app. The ride tracking and ETA features work perfectly.,3,Phoenix,app_experience,11
2025-04-02,3,Can never get a car when I actually need one. Wait times need serious improvement. Would rate 5 stars if not for the consistently long wait times in my neighborhood.,3,Los Angeles,wait_times,12
2025-04-03,5,"Simple, clean interface. Booking a ride takes literally 10 seconds. The service area is growing fast. Can now get rides to places I couldn't before.",0,Phoenix,app_experience,13
2025-04-03,3,Pricing is fair and often cheaper than Uber during surge times.,12,Los Angeles,pricing,14
2025-04-03,5,Pricing is fair and often cheaper than Uber during surge times.,11,San Francisco,pricing,15
2025-04-03,1,Love the ride but hate the wait. 20 minutes is not acceptable when I'm late. Not bad but not great either. Inconsistent experience depending on time of day.,1,Los Angeles,wait_times,16
2025-04-03,1,Service area is still too small. Half my regular destinations aren't covered.,16,San Francisco,coverage_area,17
2025-04-04,5,So glad they expanded to my neighborhood! Coverage keeps getting better.,13,Los Angeles,coverage_area,18
2025-04-04,5,Quick pickup even during evening rush. Really improving on availability. The app is clean and easy to use. Love being able to track the car in real-time.,27,Phoenix,wait_times,19
2025-04-04,3,The GPS location for pickup is often off by half a block. Confusing.,4,Los Angeles,app_experience,20
2025-04-04,4,Quick pickup even during evening rush. Really improving on availability.,12,Los Angeles,wait_times,21
2025-04-04,4,Pleasantly surprised by the quick pickup. Only waited 2 minutes.,5,Phoenix,wait_times,22
2025-04-05,3,Trust in the technology has grown with every ride. Now I prefer it over human drivers. The novelty wore off. Now I just notice the long waits and limited coverage.,8,San Francisco,safety_trust,23
2025-04-05,5,Love that there's no surge pricing. The predictable fares are a huge plus.,2,San Francisco,pricing,24
2025-04-05,4,"5 stars! Every ride has been great. Clean cars, smooth rides, futuristic experience.",5,Phoenix,general_experience,25
2025-04-05,5,The car handled a sudden obstacle in the road perfectly. Very impressive safety response.,0,Los Angeles,safety_trust,26
2025-04-05,1,Had a bad experience where the car took a very weird route. Added 10 min to my trip. Really polished app. The ride tracking and ETA features work perfectly.,1,San Francisco,general_experience,27
2025-04-05,4,The driving quality is outstanding. Handles highway merges and city traffic beautifully.,11,Los Angeles,ride_smoothness,28
2025-04-06,5,My elderly mother uses it and feels safe. That says a lot about the trust factor.,4,Los Angeles,safety_trust,29
2025-04-06,5,Smoother than any Uber ride I've ever taken. The car handles turns and stops so gently.,4,Phoenix,ride_smoothness,30
2025-04-06,3,The holiday pricing was outrageous. Nearly double what I normally pay. Really polished app. The ride tracking and ETA features work perfectly.,6,San Francisco,pricing,31
2025-04-06,5,Silky smooth ride every time. The car is so gentle with acceleration and braking.,19,San Francisco,ride_smoothness,32
